idCommune;nomCommune;annee;taux;nbMaison;nbAppart;prixM2Moyen;prixMoyen;surface;depCulturelleTotal;bugdet;population;listeVoisine;listeGare
22001;ALLINEUC;2018;0.0;3;0;650.333;80966.7;123.333;-1.0;-1.0;-1;;
22001;ALLINEUC;2019;0.0;8;0;733.375;62237.5;81.875;-1.0;-1.0;-1;;
22001;ALLINEUC;2020;0.0;7;0;1378.14;148857.0;113.429;-1.0;-1.0;-1;;
22001;ALLINEUC;2021;0.0;4;0;1082.5;112343.0;104.0;-1.0;-1.0;-1;;
22002;ANDEL;2018;0.0;15;0;1856.6;162488.0;96.5333;-1.0;-1.0;-1;;
22002;ANDEL;2019;0.0;11;0;1611.64;176805.0;109.182;-1.0;-1.0;-1;;
22002;ANDEL;2020;0.0;11;0;1623.0;156954.0;105.455;-1.0;-1.0;-1;;
22002;ANDEL;2021;0.0;18;0;2103.89;246855.0;122.0;-1.0;-1.0;-1;;
22003;AUCALEUC;2018;0.0;10;0;1742.0;203500.0;115.2;-1.0;-1.0;-1;;
22003;AUCALEUC;2019;0.0;11;0;1757.27;157089.0;88.4545;-1.0;-1.0;-1;;
22003;AUCALEUC;2020;0.0;8;0;1449.0;156536.0;110.75;-1.0;-1.0;-1;;
22003;AUCALEUC;2021;0.0;13;0;2033.15;226519.0;114.231;-1.0;-1.0;-1;;
22004;BEGARD;2018;0.0;70;1;1185.46;105038.0;92.8028;-1.0;-1.0;-1;;
22004;BEGARD;2019;0.0;71;0;1312.37;105919.0;84.0;827.0;4800.0;4808;;
22004;BEGARD;2020;0.0;81;3;1301.13;122746.0;93.5952;886.0;0.0;4900;;
22004;BEGARD;2021;0.0;102;6;1399.1;129208.0;96.4444;-1.0;-1.0;-1;;
22005;BELLE-ISLE-EN-TERRE;2018;0.0;20;0;840.25;88159.0;100.5;-1.0;-1.0;-1;;
22005;BELLE-ISLE-EN-TERRE;2019;0.0;15;0;968.2;80994.8;86.4667;-1.0;-1.0;-1;;
22005;BELLE-ISLE-EN-TERRE;2020;0.0;19;1;1081.2;91775.0;93.3;-1.0;-1.0;-1;;
22005;BELLE-ISLE-EN-TERRE;2021;0.0;29;0;1038.55;91662.1;90.3793;-1.0;-1.0;-1;;
22006;BERHET;2018;0.0;4;0;960.25;103625.0;106.75;-1.0;-1.0;-1;;
22006;BERHET;2019;0.0;3;0;864.667;78166.7;84.0;-1.0;-1.0;-1;;
22006;BERHET;2020;0.0;4;0;1305.25;119500.0;92.25;-1.0;-1.0;-1;;
22006;BERHET;2021;0.0;8;0;1160.38;121799.0;103.625;-1.0;-1.0;-1;;
22008;BOBITAL;2018;0.0;11;0;1630.27;197006.0;118.091;-1.0;-1.0;-1;;
22008;BOBITAL;2019;0.0;18;0;1890.28;214640.0;111.111;-1.0;-1.0;-1;;
22008;BOBITAL;2020;0.0;14;0;1956.14;187849.0;98.8571;-1.0;-1.0;-1;;
22008;BOBITAL;2021;0.0;22;1;1744.0;176621.0;97.6957;-1.0;-1.0;-1;;
22009;LE BODEO;2018;0.0;3;0;743.333;60000.0;87.3333;-1.0;-1.0;-1;;
22009;LE BODEO;2019;0.0;4;0;1096.75;101250.0;88.75;-1.0;-1.0;-1;;
22009;LE BODEO;2020;0.0;4;0;1185.0;106888.0;87.0;-1.0;-1.0;-1;;
22009;LE BODEO;2021;0.0;5;0;890.6;66550.0;69.0;-1.0;-1.0;-1;;
22011;BOQUEHO;2018;0.0;7;0;1212.71;163657.0;120.0;-1.0;-1.0;-1;;
22011;BOQUEHO;2019;0.0;17;0;1307.29;124953.0;95.4118;-1.0;-1.0;-1;;
22011;BOQUEHO;2020;0.0;9;0;1219.67;129722.0;100.667;-1.0;-1.0;-1;;
22011;BOQUEHO;2021;0.0;14;0;1549.14;175066.0;118.071;-1.0;-1.0;-1;;
22012;LA BOUILLIE;2018;0.0;13;0;1646.77;167456.0;105.538;-1.0;-1.0;-1;;
22012;LA BOUILLIE;2019;0.0;9;0;1198.0;136450.0;116.222;-1.0;-1.0;-1;;
22012;LA BOUILLIE;2020;0.0;13;0;1420.46;135654.0;104.385;-1.0;-1.0;-1;;
22012;LA BOUILLIE;2021;0.0;9;0;1980.78;189222.0;97.7778;-1.0;-1.0;-1;;
22013;BOURBRIAC;2018;0.0;22;0;866.455;81585.3;93.1818;-1.0;-1.0;-1;;87473512 | 
22013;BOURBRIAC;2019;0.0;19;1;1176.3;102758.0;89.75;-1.0;-1.0;-1;;87473512 | 
22013;BOURBRIAC;2020;0.0;32;1;1137.48;90528.2;84.4545;-1.0;-1.0;-1;;87473512 | 
22013;BOURBRIAC;2021;0.0;40;3;1196.4;103094.0;86.907;-1.0;-1.0;-1;;87473512 | 
22014;BOURSEUL;2018;0.0;17;0;1323.06;138471.0;106.941;-1.0;-1.0;-1;;
22014;BOURSEUL;2019;0.0;15;0;1317.47;138982.0;106.533;-1.0;-1.0;-1;;
22014;BOURSEUL;2020;0.0;15;0;1411.53;144700.0;111.2;-1.0;-1.0;-1;;
22014;BOURSEUL;2021;0.0;17;0;1598.88;180265.0;117.0;-1.0;-1.0;-1;;
22015;BREHAND;2018;0.0;12;0;1714.0;175233.0;102.833;-1.0;-1.0;-1;;
22015;BREHAND;2019;0.0;16;0;1404.12;147279.0;108.188;-1.0;-1.0;-1;;
22015;BREHAND;2020;0.0;23;0;1451.17;145081.0;102.348;-1.0;-1.0;-1;;
22015;BREHAND;2021;0.0;28;0;1510.68;142967.0;95.6071;-1.0;-1.0;-1;;
22016;ILE-DE-BREHAT;2018;0.0;7;1;4014.75;288075.0;75.375;-1.0;-1.0;-1;;
22016;ILE-DE-BREHAT;2019;0.0;11;1;4356.33;488950.0;103.417;-1.0;-1.0;-1;;
22016;ILE-DE-BREHAT;2020;0.0;11;1;3411.67;398469.0;119.25;-1.0;-1.0;-1;;
22016;ILE-DE-BREHAT;2021;0.0;14;1;5424.33;502136.0;96.9333;-1.0;-1.0;-1;;
22018;BRELIDY;2018;0.0;11;0;1106.36;101705.0;97.0909;-1.0;-1.0;-1;;
22018;BRELIDY;2019;0.0;8;0;1405.12;140944.0;100.875;-1.0;-1.0;-1;;
22018;BRELIDY;2020;0.0;4;0;1183.25;116874.0;97.75;-1.0;-1.0;-1;;
22018;BRELIDY;2021;0.0;9;0;1387.78;110761.0;83.4444;-1.0;-1.0;-1;;
22019;BRINGOLO;2018;0.0;7;0;1078.71;150356.0;132.286;-1.0;-1.0;-1;;
22019;BRINGOLO;2019;0.0;6;0;1180.33;136303.0;107.667;-1.0;-1.0;-1;;
22019;BRINGOLO;2020;0.0;7;0;1436.57;151043.0;106.857;-1.0;-1.0;-1;;
22019;BRINGOLO;2021;0.0;9;0;1253.22;172217.0;135.444;-1.0;-1.0;-1;;
22020;BROONS;2018;0.0;21;1;1143.23;96101.7;90.4091;-1.0;-1.0;-1;;87473074 | 
22020;BROONS;2019;0.0;36;3;1251.03;111129.0;96.0769;-1.0;-1.0;-1;;87473074 | 
22020;BROONS;2020;0.0;39;1;1152.9;124743.0;112.075;-1.0;-1.0;-1;;87473074 | 
22020;BROONS;2021;0.0;36;1;1177.22;117153.0;99.4595;-1.0;-1.0;-1;;87473074 | 
22021;BRUSVILY;2018;0.0;16;0;1423.0;125948.0;88.3125;-1.0;-1.0;-1;;
22021;BRUSVILY;2019;0.0;18;0;1497.78;141333.0;96.1111;-1.0;-1.0;-1;;
22021;BRUSVILY;2020;0.0;27;0;1586.15;153243.0;98.2593;-1.0;-1.0;-1;;
22021;BRUSVILY;2021;0.0;22;0;1583.45;165170.0;106.045;-1.0;-1.0;-1;;
22023;BULAT-PESTIVIEN;2018;0.0;12;0;578.75;54542.5;95.4167;-1.0;-1.0;-1;;
22023;BULAT-PESTIVIEN;2019;0.0;14;0;1130.93;99250.0;85.9286;-1.0;-1.0;-1;;
22023;BULAT-PESTIVIEN;2020;0.0;11;0;843.182;58054.5;71.8182;-1.0;-1.0;-1;;
22023;BULAT-PESTIVIEN;2021;0.0;7;0;1107.29;109954.0;105.0;-1.0;-1.0;-1;;
22024;CALANHEL;2018;0.0;4;0;760.0;64450.0;91.75;-1.0;-1.0;-1;;
22024;CALANHEL;2019;0.0;3;0;630.333;62666.7;95.3333;-1.0;-1.0;-1;;
22024;CALANHEL;2020;0.0;3;0;904.0;66666.7;75.3333;-1.0;-1.0;-1;;
22024;CALANHEL;2021;0.0;3;0;1010.67;79666.7;76.0;-1.0;-1.0;-1;;
22025;CALLAC;2018;0.0;32;0;807.594;67776.3;87.4375;-1.0;-1.0;-1;;87473546 | 87473587 | 
22025;CALLAC;2019;0.0;38;1;957.641;92354.2;99.5128;-1.0;-1.0;-1;;87473546 | 87473587 | 
22025;CALLAC;2020;0.0;52;0;858.942;79236.0;95.4038;-1.0;-1.0;-1;;87473546 | 87473587 | 
22025;CALLAC;2021;0.0;70;0;1029.13;92076.8;91.1286;-1.0;-1.0;-1;;87473546 | 87473587 | 
